SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
-93.9407653809,2.0,1.0,"[-130, -125.9024353, -93.9407654]",19,"[0.5078, 0.5078]"
57.0592346191,2.0,1.0,"[-130, -125.9024353, 57.0592346]",170,"[0.5078, 0.5078]"
57.0592346191,2.0,1.0,"[-130, -125.9024353, 57.0592346]",170,"[0.5078, 0.5078]"
44.0592346191,2.0,1.0,"[-130, -125.9024353, 44.0592346]",157,"[0.5078, 0.5078]"
44.0592346191,2.0,1.0,"[-130, -125.9024353, 44.0592346]",157,"[0.5078, 0.5078]"
72.0592346191,2.0,1.0,"[-130, -125.9024353, 72.0592346]",185,"[0.5078, 0.5078]"
72.0592346191,2.0,1.0,"[-130, -125.9024353, 72.0592346]",185,"[0.5078, 0.5078]"
42.0592346191,2.0,1.0,"[-130, -125.9024353, 42.0592346]",155,"[0.5078, 0.5078]"
42.0592346191,2.0,1.0,"[-130, -125.9024353, 42.0592346]",155,"[0.5078, 0.5078]"
-46.9407653809,2.0,1.0,"[-130, -125.9024353, -46.9407654]",66,"[0.5078, 0.5078]"
-46.9407653809,2.0,1.0,"[-130, -125.9024353, -46.9407654]",66,"[0.5078, 0.5078]"
-75.9407653809,2.0,1.0,"[-130, -125.9024353, -75.9407654]",37,"[0.5078, 0.5078]"
-75.9407653809,2.0,1.0,"[-130, -125.9024353, -75.9407654]",37,"[0.5078, 0.5078]"
-39.9407653809,2.0,1.0,"[-130, -125.9024353, -39.9407654]",73,"[0.5078, 0.5078]"
-39.9407653809,2.0,1.0,"[-130, -125.9024353, -39.9407654]",73,"[0.5078, 0.5078]"
-83.9407653809,2.0,1.0,"[-130, -125.9024353, -83.9407654]",29,"[0.5078, 0.5078]"
-83.9407653809,2.0,1.0,"[-130, -125.9024353, -83.9407654]",29,"[0.5078, 0.5078]"
-96.9407653809,2.0,1.0,"[-130, -125.9024353, -96.9407654]",16,"[0.5078, 0.5078]"
-96.9407653809,2.0,1.0,"[-130, -125.9024353, -96.9407654]",16,"[0.5078, 0.5078]"
-94.9407653809,2.0,1.0,"[-130, -125.9024353, -94.9407654]",18,"[0.5078, 0.5078]"
-94.9407653809,2.0,1.0,"[-130, -125.9024353, -94.9407654]",18,"[0.5078, 0.5078]"
26.0592346191,2.0,1.0,"[-130, -125.9024353, 26.0592346]",139,"[0.5078, 0.5078]"
26.0592346191,2.0,1.0,"[-130, -125.9024353, 26.0592346]",139,"[0.5078, 0.5078]"
94.0592346191,2.0,1.0,"[-130, -125.9024353, 94.0592346]",207,"[0.5078, 0.5078]"
94.0592346191,2.0,1.0,"[-130, -125.9024353, 94.0592346]",207,"[0.5078, 0.5078]"
3.0592346191,2.0,1.0,"[-130, -125.9024353, 3.05923462]",116,"[0.5078, 0.5078]"
3.0592346191,2.0,1.0,"[-130, -125.9024353, 3.05923462]",116,"[0.5078, 0.5078]"
-72.9407653809,2.0,1.0,"[-130, -125.9024353, -72.9407654]",40,"[0.5078, 0.5078]"
-72.9407653809,2.0,1.0,"[-130, -125.9024353, -72.9407654]",40,"[0.5078, 0.5078]"
52.0592346191,2.0,1.0,"[-130, -125.9024353, 52.0592346]",165,"[0.5078, 0.5078]"
52.0592346191,2.0,1.0,"[-130, -125.9024353, 52.0592346]",165,"[0.5078, 0.5078]"
